stages_id,narr_speaker,narr_location,narr_order,narr_dialog
stg_intro,Nikeen_Patel,office,1,"You wake on your desk. Having worked late last night to complete your proposal to obtain funding for a start-up of your completely original and not and all copyright infringing program called CloudNet, a friendly security oriented AI system"
stg_stat_choice,Nikeen_Patel,office,1,
stg_the_taffia,Nikeen_Patel,queens,1,"You take your application to your superiors, moving through the many, long corridors of the Computer Science department. When you arrive at his office, the head of the department looks over your proposal with one eyebrow raised. He turns his focus to you, his eyes glare at up at you just above the top of the application letter. "
stg_the_taffia,Stuart_Allen,queens,2,"""There is absolutely nothing you can say or do to make me give the green light to fund this kind of crazy program. An AI system as advanced as this could wipe out humanity completely....This program seems oddly familiar to one I've seen in a film before"""
stg_the_taffia,Nikeen_Patel,queens,3,He says with one hand cupped on his chin.ÿ
stg_the_taffia,Nikeen_Patel,queens,4,"You leave the building with your head hanging low, you feel as though years of your work have gone to waste.ÿ"
stg_the_taffia,Nikeen_Patel,queens,5,"Spliffy, leaning on the wall with one leg propped up looks over from under his hood.ÿÿ"
stg_the_taffia,Aaron_Sehmby,queens,5,"""You look down, My G, what up?"""
stg_the_taffia,Nikeen_Patel,queens,5,"He offers you a dreg of what was most certianly not a cigerette. You decided after a day like this, you could use some relaxing"
stg_the_taffia,Kirill_Sidorov,queens,5,"""I just had my project rejected, I'll never be able to develop my lifes project in time"""
stg_the_taffia,Aaron_Sehmby,queens,5,"""Hmm?. You do cumputas right? I've got some friends at the Taf who could cheer you up. Name's Spliffy."""
stg_the_taffia,Nikeen_Patel,queens,5,"Spliffy winks and guestures you to follow, you follow him across the bridge towards to Student Union"
stg_the_taffia,Nikeen_Patel,taff,5,"At the Taf, Spliffy escorts you through to a room behind the bar.ÿ"
stg_the_taffia,Nikeen_Patel,taff,5,"Staring you down at the end of a long table, shrouded in shadow, is the big boss you heard of in rumours: Castellano"
stg_the_taffia,William_Davies,taff,5,"""Allright boyo"""
stg_the_taffia,Nikeen_Patel,taff,5,Says the dark figure in his thick Welsh accent.
stg_the_taffia,Kirill_Sidorov,taff,5,"""Hello..."""
stg_the_taffia,Nikeen_Patel,taff,5,You reply unsure of how you actually ended up here?
stg_the_taffia,William_Davies,taff,5,"""You cum highly recommended by my friend here Spliffy. See, I've got an little issue mister computa man. I can't sell my... products as da ... inspectors have been lockin' up my best ... distributas. I 'ear you've got a little cash flow problem that maybe tog'eva we can fix."" ÿ"
stg_the_taffia,Action Choice,taff,5,"""Now I am not one for dem documentories, by the lady had one of dem on about those dark webs and shit. I want you to send my merchanice via those emails and snapchats. I'll sell to you bulk, you make profit, everybody happy, 'ight? "
stg_join_taffia,William_Davies,taff,1,"""Fantastic Mister Computa man"" "
stg_join_taffia,Nikeen_Patel,taff,2, Says Castellano in his deep bellowing voice
stg_join_taffia,William_Davies,taff,3,"""My mister vice-president here, Claws, will sell you the products, and we can talk more once you start pulling your weight. Now go make us rich.""ÿ"
